	MuonType	wheel	sector	station	hits	tdcs	lateralities	Q	phi	phib	bX	Chi2	x	tanPsi	t0	id
3108	[Std  ]	 1	 6	4 	[67, 67, 67, 67, 69, 69, -1, 69]	[830.0, 551.0, 844.0, 549.0, 870.0, 521.0, -1.0, 518.0]	[0, 1, 0, 1, 0, 1, -1, 1]	Q7	1748.0	-12.0	0.0	2080.0	85231.0	8.0	503.0	73706-23
3109	[Std  ]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[1, -1, 0, 1, -1, -1, -1, -1]	Q1	9117.0	232.0	0.0	39.0	9931.0	185.0	508.0	73706-24
3110	[Std  ]	 2	10	1 	[-1, -1, -1, -1, 19, 19, 19, 20]	[-1.0, -1.0, -1.0, -1.0, 842.0, 746.0, 568.0, 823.0]	[-1, -1, -1, -1, 0, 1, 0, 0]	Q3	18005.0	-1336.0	1.0	352.0	-22075.0	-566.0	532.0	73706-25
3111	[Std  ]	-1	 5	1 	[23, -1, 23, 23, -1, -1, -1, -1]	[878.0, -1.0, 859.0, 725.0, -1.0, -1.0, -1.0, -1.0]	[0, -1, 0, 1, -1, -1, -1, -1]	Q1	9931.0	-74.0	4.0	39.0	-7263.0	-40.0	594.0	73706-26
3112	[Std  ]	 0	11	3 	[69, 70, 69, 70, -1, -1, -1, -1]	[671.0, 853.0, 1003.0, 779.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, 1, -1, -1, -1, -1]	Q3	34508.0	698.0	6.0	234.0	141706.0	-690.0	651.0	73706-27
3113	[Std  ]	-1	 5	1 	[23, -1, 23, 23, -1, -1, -1, -1]	[878.0, -1.0, 859.0, 725.0, -1.0, -1.0, -1.0, -1.0]	[1, -1, 0, 1, -1, -1, -1, -1]	Q1	10249.0	-1480.0	8.0	39.0	-6238.0	751.0	689.0	73706-28
3114	[Std  ]	-1	 5	1 	[-1, -1, -1, -1, 16, 16, -1, 16]	[-1.0, -1.0, -1.0, -1.0, 858.0, 919.0, -1.0, 903.0]	[-1, -1, -1, -1, 0, 1, -1, 1]	Q1	1500.0	-92.0	8.0	195.0	-34025.0	33.0	699.0	73706-29
3115	[Std  ]	-1	 5	1 	[-1, -1, -1, -1, 16, 16, 16, -1]	[-1.0, -1.0, -1.0, -1.0, 858.0, 919.0, 1010.0, -1.0]	[-1, -1, -1, -1, 0, 1, 0, -1]	Q1	1389.0	-651.0	9.0	39.0	-34400.0	317.0	733.0	73706-30
3116	[Std  ]	-1	 5	1 	[23, 24, 23, -1, -1, -1, -1, -1]	[878.0, 1001.0, 859.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, -1, -1, -1, -1, -1]	Q1	10591.0	-247.0	10.0	78.0	-5138.0	40.0	741.0	73706-31
3117	[Std  ]	-1	 5	1 	[-1, -1, -1, -1, -1, 16, 16, 16]	[-1.0, -1.0, -1.0, -1.0, -1.0, 919.0, 1010.0, 903.0]	[-1, -1, -1, -1, -1, 1, 0, 1]	Q1	1389.0	-90.0	11.0	78.0	-34400.0	33.0	767.0	73706-32
3118	[Std  ]	-1	 5	1 	[-1, -1, -1, -1, 16, 16, -1, 16]	[-1.0, -1.0, -1.0, -1.0, 858.0, 919.0, -1.0, 903.0]	[-1, -1, -1, -1, 0, 1, -1, 0]	Q1	1280.0	-1128.0	11.0	195.0	-34769.0	601.0	767.0	73706-33
3119	[Std  ]	-1	 5	1 	[-1, -1, -1, -1, 16, -1, 16, 16]	[-1.0, -1.0, -1.0, -1.0, 858.0, -1.0, 1010.0, 903.0]	[-1, -1, -1, -1, 0, -1, 0, 1]	Q1	1500.0	-653.0	12.0	78.0	-34025.0	317.0	801.0	73706-34
