
Inspecting Event Number 12006 
        Wh   Se   St  | w1 w2 w3 w4 w5 w6 w7 w8 |  tdc1  tdc2  tdc3  tdc4  tdc5  tdc6  tdc7  tdc8 | lat1 lat2 lat3 lat4 lat5 lat6 lat7 lat8 | Q     phi  phib  bX      Chi2         x tanPsi     t0 
[Bayes]: Wh-1 Se 7 St3 | 11 12 11 11 10 11 10 11 |   559   839   788   878   813   606   748   664 |   1    0    0    1    1    0    1    0 | Q8 -17425    62   1    335283   -104895    103    530
[Bayes]: Wh 1 Se 1 St3 | 69 69 69 70 70 71 70 71 |   593   844   510   835   698   817   615   722 |   0    1    0    0    0    0    1    0 | Q8 -25796   -23   1    147898    145697   -211    527
[Bayes]: Wh 1 Se 1 St3 | -1 -1 -1 -1 70 71 70 71 |    -1    -1    -1    -1   698   817   615   722 |   0    0    0    0    0    0    1    0 | Q3 -25731  -483   1    409758    147696   -461    514
[Bayes]: Wh 1 Se 1 St4 | 59 60 59 60 58 59 58 59 |   772   571   868   530   828   528   597   635 |   1    0    1    0    1    1    1    0 | Q8 -25733    97   1    344848     48720   -150    513
[Bayes]: Wh 1 Se 1 St4 | 59 60 59 60 58 59 59 59 |   772   571   868   530   828   528   810   635 |   1    1    1    1    1    1    0    0 | Q8 -25805    34   1    216644     49133   -182    513
[Bayes]: Wh-1 Se 7 St3 | 11 11 11 11 -1 -1 -1 -1 |   559   780   788   878    -1    -1    -1    -1 |   1    1    0    1   -1    0    0    0 | Q3 -17657   688   5         0   -104422   -204    614
[Std  ]: Wh-1 Se 7 St2 | -1 -1 19 19 18 -1 18 18 |    -1    -1   724   550   664    -1   724   516 |  -1   -1    1    0    0   -1    0    1 | Q2 -17633    20  -2        39    -49500    125    442
[Std  ]: Wh-1 Se 7 St2 | 18 18 18 18 -1 19 19 -1 |   817   553   810   550    -1   553   810    -1 |   0    1    0    1   -1    1    0   -1 | Q4 -17452   281   0       898    -45613     -4    489
[Std  ]: Wh-1 Se 7 St2 | -1 -1 19 19 18 18 18 -1 |    -1    -1   724   550   664   689   724    -1 |  -1   -1    1    0    0    1    0   -1 | Q2 -17558    19   0         0    -49194    125    498
[Std  ]: Wh-1 Se 7 St3 | -1 -1 12 12 10 11 10 11 |    -1    -1   532   878   813   606   748   664 |  -1   -1    1    1    1    0    1    0 | Q4 -17349    10   0       586   -106106    128    499
[Std  ]: Wh-1 Se 7 St3 | 11 11 11 11 -1 -1 -1 -1 |   559   780   788   564    -1    -1    -1    -1 |   1    1    0    0   -1   -1   -1   -1 | Q3 -17656  -956   0        39   -104419    686    509
[Std  ]: Wh-1 Se 7 St4 |  3  4  3  4  1  1  1  1 |   767   651   703   710   779   575   842   519 |   1    0    1    0    0    1    0    1 | Q8 -17226    12   0       479   -181931    126    500
[Std  ]: Wh 1 Se 1 St2 | -1 49 48 49 49 49 49 49 |    -1   553   889   550   851   582   750   685 |  -1    0    1    1    0    1    0    1 | Q7 -25547   -24   0      1514     79778   -210    501
[Std  ]: Wh 1 Se 1 St3 | 69 69 69 70 70 71 70 71 |   593   844   510   835   521   817   615   722 |   0    1    1    0    1    0    1    0 | Q8 -25767   -10   0       752    145550   -204    501
[Std  ]: Wh 1 Se 1 St4 | 59 60 59 60 58 59 59 59 |   772   571   868   530   828   528   810   635 |   1    0    1    1    1    1    0    1 | Q8 -25843     1   0     45469     49350   -199    501

Inspecting Event Number 12007 
        Wh   Se   St  | w1 w2 w3 w4 w5 w6 w7 w8 |  tdc1  tdc2  tdc3  tdc4  tdc5  tdc6  tdc7  tdc8 | lat1 lat2 lat3 lat4 lat5 lat6 lat7 lat8 | Q     phi  phib  bX      Chi2         x tanPsi     t0 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
[Bayes]: Wh 0 Se 6 St1 | 12 13 12 13 12 12 12 12 |   771   653   696   724   523   822   600   746 |   1    0    1    0    0    1    0    1 | Q8  26564   -94   0        78    -49488    158    498
[Bayes]: Wh 0 Se 6 St1 | -1 -1 -1 -1 12 12 12 12 |    -1    -1    -1    -1   523   822   600   746 |   0    0    0    0    0    1    0    1 | Q3  26405   -89   0         7    -51347    159    498
[Bayes]: Wh 0 Se 6 St1 | 12 13 12 13 -1 -1 -1 -1 |   771   653   696   724    -1    -1    -1    -1 |   1    0    1    0   -1    0    0    0 | Q3  26730  -108   0       117    -47628    152    499
[Bayes]: Wh 0 Se 1 St2 | 42 43 42 43 42 42 42 43 |   768   595   827   542   535   884   525   845 |   1    1    1    1    1    0    1    0 | Q8 -18938    68   0     17971     53141   -112    508
[Bayes]: Wh 0 Se 6 St2 |  1  2  1  2 -1  0 -1 -1 |   725   692   644   775    -1   621    -1    -1 |   1    0    1    0    0    0    0    0 | Q4  25765   -74   0       296   -121132    162    495
[Bayes]: Wh 0 Se 6 St2 |  1  2  1  2 -1 -1 -1 -1 |   725   692   644   775    -1    -1    -1    -1 |   1    0    1    0   -1    0    0    0 | Q3  25765   -56   0        30   -121133    171    494
[Bayes]: Wh 0 Se 1 St3 | 60 61 61 61 61 62 61 62 |   860   514   863   562   615   747   671   692 |   1    0    0    1    1    0    1    0 | Q8 -18277    36   0       480    109052   -123    504
[Bayes]: Wh 0 Se 1 St3 | -1 -1 -1 -1 61 62 61 62 |    -1    -1    -1    -1   615   747   671   692 |   0    0    0    0    1    0    1    0 | Q3 -18234    49   0         7    110493   -116    501
[Bayes]: Wh 0 Se 1 St3 | 60 61 61 61 -1 -1 -1 -1 |   860   514   863   562    -1    -1    -1    -1 |   1    0    0    1   -1    0    0    0 | Q3 -18321    26   0       986    107611   -128    506
[Bayes]: Wh 0 Se 6 St3 | 12 13 12 13 11 12 11 12 |   704   718   625   798   737   676   657   753 |   1    0    1    0    1    0    1    0 | Q8  24952   -46   0       447    -97350    170    494
[Bayes]: Wh 0 Se 6 St3 | -1 -1 -1 -1 11 12 11 12 |    -1    -1    -1    -1   737   676   657   753 |   0    0    0    0    1    0    1    0 | Q3  24898   -57   0        66    -99347    164    492
[Bayes]: Wh 0 Se 6 St3 | 12 13 12 13 -1 -1 -1 -1 |   704   718   625   798    -1    -1    -1    -1 |   1    0    1    0   -1    0    0    0 | Q3  25005   -55   0         7    -95353    166    497
[Bayes]: Wh 0 Se 6 St4 | 37 37 37 37 38 38 38 38 |   760   571   841   507   776   557   871   524 |   0    1    0    1    0    0    0    0 | Q8  24695   -15   0       541    -42794    183    494
[Bayes]: Wh 0 Se 6 St4 | 37 37 37 37 -1 -1 -1 -1 |   760   571   841   507    -1    -1    -1    -1 |   0    1    0    1   -1    0    0    0 | Q3  24714   -13   0      1410    -40647    184    492
[Bayes]: Wh 0 Se 1 St2 | 42 43 42 43 -1 -1 -1 -1 |   768   595   827   542    -1    -1    -1    -1 |   1    1    1    1   -1    0    0    0 | Q3 -19078    48   1    669929     51979   -123    536
